name,category,group,satisfied_with_area,local_govt_responsive,police_approval,suitable_employment,good_to_raise_kids,good_cond_of_parks,influence_over_local_govt,access_to_car,evicted,received_evict_notice,locations_in_walking_dist,safe_sidewalks,safe_biking,rec_facilities_avail,trust_neighbors,youth_have_role_models,neighbors_improving_area,safe_walking_at_night,would_save_fire_station,youth_likely_graduate_hs,youth_likely_job_w_opportunity,youth_likely_in_gang,youth_likely_abuse_drugs_alc,youth_likely_felony,very_good_self_rate_health,life_satisfaction,happy,anxious,diabetes,have_health_insurance,didnt_get_med_care,postponed_med_care,couldnt_afford_rx,altered_rx,asthma,no_medical_home,visited_er,dental_visit_past_yr,receive_emotional_support,depression,smoking,heavy_drinking,know_someone_abusing_opioids,know_someone_died_opioids,financial_insecurity,less_than_2mo_savings,negative_net_worth,underemployment,no_bank_account,food_insecurity,housing_insecurity,utility_insecurity,discrim_in_workplace,discrim_by_police,discrim_getting_service,discrim_in_housing,discrim_in_healthcare
Ansonia,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
Ansonia,Total,Total,0.81,0.51,0.71,0.38,0.67,0.65,0.67,0.92,,,0.6,0.62,0.58,0.69,0.84,0.68,0.78,0.67,,0.9,0.56,0.05,0.33,0.08,0.53,0.57,0.7,0.17,0.15,0.95,0.12,0.2,0.04,,0.13,0.11,0.3,0.77,0.64,0.09,0.16,0.06,0.4,0.29,0.34,0.41,0.14,,0.13,0.17,0.04,0.13,0.31,0.14,,0.01,0.16
Ansonia,Gender,Male,0.88,0.64,0.75,0.42,0.73,0.73,0.84,0.97,,,0.56,0.66,0.75,0.77,0.92,0.77,0.84,0.74,,,,,,,0.56,0.62,0.76,0.14,0.24,0.94,0.11,0.18,0.02,,0.1,0.09,0.26,0.77,0.69,0.07,,,,,0.2,,,,0.13,0.11,0.03,,,0.17,,,
Ansonia,Gender,Female,0.75,0.41,0.65,0.34,0.64,0.57,0.53,0.87,,,0.64,0.57,0.4,0.62,0.74,0.61,0.7,0.62,,,,,,,0.5,0.52,0.65,0.18,0.07,0.95,0.13,0.22,0.05,,0.15,0.14,0.36,0.77,0.6,0.1,,,,,0.47,,,,0.12,0.22,0.04,,,0.11,,,
Ansonia,Age,Under age 55,0.79,0.44,0.64,0.37,0.61,0.55,0.66,0.91,,,0.69,0.59,0.55,0.68,0.8,0.61,0.71,0.68,,,,,,,0.52,0.53,0.71,0.18,0.09,0.95,0.11,0.22,0.02,,0.14,0.15,0.33,0.82,0.53,0.09,,,,,0.34,,,,0.17,0.22,0.02,,,0.16,,,
Ansonia,Age,Age 55 or older,0.84,0.63,0.84,0.43,0.81,0.77,0.68,0.94,,,0.45,0.65,0.61,0.72,0.9,0.82,0.89,0.66,,,,,,,0.55,0.64,0.69,0.13,0.25,0.95,0.13,0.17,0.06,,0.12,0.04,0.26,0.69,0.82,0.07,,,,,0.35,,,,0.05,0.07,0.07,,,0.11,,,
Ansonia,Education,Some college or less,0.79,0.43,0.63,0.35,0.6,0.51,0.61,0.89,,,0.65,0.64,0.55,0.7,0.8,0.58,0.76,0.6,,,,,,,0.42,0.45,0.65,0.23,0.14,0.94,0.14,0.27,0.04,,0.07,0.13,0.35,0.72,0.57,0.12,,,,,0.38,,,,0.2,0.25,0.04,,,0.16,,,
Ansonia,Education,Bachelor's or higher,0.84,0.66,0.82,0.43,0.8,0.82,0.77,0.96,,,0.55,0.6,0.64,0.68,0.88,0.84,0.79,0.8,,,,,,,0.68,0.78,0.82,0.05,0.18,0.96,0.08,0.07,0.02,,0.22,0.08,0.24,0.86,0.75,0.04,,,,,0.29,,,,0.01,0.04,0.03,,,0.1,,,
Ansonia,Income,<$75K,0.76,0.45,0.55,0.28,0.56,0.57,0.58,0.86,,,0.68,0.58,0.49,0.61,0.74,0.59,0.71,0.59,,,,,,,0.38,0.49,0.71,0.18,0.17,0.91,0.15,0.24,0.03,,0.12,0.19,0.45,0.63,0.61,0.08,,,,,0.52,,,,0.16,0.28,0.06,,,0.18,,,
Ansonia,Income,$75K+,0.82,0.47,0.85,0.42,0.77,0.72,0.76,0.98,,,0.56,0.66,0.68,0.74,0.91,0.78,0.79,0.74,,,,,,,0.69,0.63,0.68,0.16,0.1,0.98,0.11,0.19,0.03,,0.16,0.05,0.17,0.95,0.6,0.1,,,,,0.17,,,,0.11,0.07,0.02,,,0.05,,,
