level,name,no_computer,no_broadband,ages00_17_no_broadband,ages18_64_no_broadband
state,Connecticut,0.19,0.07,0.05,0.06
town,Andover,0.11,0.05,0.02,0.04
town,Ansonia,0.31,0.14,0.06,0.12
town,Ashford,0.14,0.06,0.06,0.04
town,Avon,0.05,0.02,0,0.01
town,Barkhamsted,0.11,0.07,0,0.05
town,Beacon Falls,0.1,0.07,0.05,0.07
town,Berlin,0.16,0.05,0.02,0.02
town,Bethany,0.12,0.07,0.07,0.11
town,Bethel,0.11,0.04,0.02,0.02
town,Bethlehem,0.13,0.06,0.04,0.04
town,Bloomfield,0.24,0.09,0.07,0.07
town,Bolton,0.09,0.06,0.15,0.09
town,Bozrah,0.11,0.06,0.03,0.03
town,Branford,0.17,0.06,0.02,0.03
town,Bridgeport,0.32,0.12,0.1,0.08
town,Bridgewater,0.1,0.07,0,0.03
town,Bristol,0.22,0.08,0.03,0.05
town,Brookfield,0.1,0.03,0.01,0.02
town,Brooklyn,0.19,0.06,0.02,0.02
town,Burlington,0.07,0.03,0,0.03
town,Canaan,0.15,0.06,0.1,0.06
town,Canterbury,0.16,0.05,0,0.03
town,Canton,0.14,0.06,0.01,0.02
town,Chaplin,0.14,0.08,0.03,0.05
town,Cheshire,0.12,0.07,0.03,0.06
town,Chester,0.1,0.03,0,0.01
town,Clinton,0.15,0.04,0.03,0.04
town,Colchester,0.1,0.04,0.01,0.02
town,Colebrook,0.18,0.06,0,0.03
town,Columbia,0.08,0.03,0.06,0.03
town,Cornwall,0.08,0.04,0,0.01
town,Coventry,0.1,0.04,0.02,0.02
town,Cromwell,0.15,0.06,0.02,0.05
town,Danbury,0.2,0.08,0.06,0.07
town,Darien,0.07,0.02,0.01,0.01
town,Deep River,0.18,0.09,0,0.07
town,Derby,0.26,0.13,0.08,0.12
town,Durham,0.09,0.03,0,0.02
town,East Granby,0.14,0.04,0.04,0.02
town,East Haddam,0.12,0.07,0.07,0.06
town,East Hampton,0.12,0.08,0,0.06
town,East Hartford,0.25,0.08,0.06,0.06
town,East Haven,0.23,0.05,0.01,0.03
town,East Lyme,0.12,0.03,0.01,0.02
town,East Windsor,0.17,0.08,0.17,0.07
town,Eastford,0.14,0.02,0.01,0.01
town,Easton,0.07,0.02,0,0.01
town,Ellington,0.13,0.04,0,0.01
town,Enfield,0.17,0.06,0.02,0.04
town,Essex,0.12,0.05,0,0.03
town,Fairfield,0.09,0.03,0.02,0.02
town,Farmington,0.15,0.05,0.02,0.03
town,Franklin,0.13,0.1,0.01,0.03
